MXF
-3.06
-2
-1
-3.06
-2
-4.06
-4.06
3
-3.06
-2
2
-2
-4.06
2
-1
-2
-4.06
-2
-2
-2
3
-2
0
-1
3
-2
-2
-1
-3.06
-2
0
1
-3.06
-4.06
-4.06
-2
-3.06
2
-3.06
-2
-2
-3.06
-1
-4.06
1
-2
-1
-3.06
-1
2
2
-1
3
0
-2
-3.06
-3.06
-1
-3.06
2
3
-2
-2
-3.06
-2
-2
-3.06
0
-3.06
-4.06
-1
-2
-4.06
-2
-1
2
-2
-3.06
-3.06
-2
0
-1
-2
-3.06
-1
-4.06
0
-2
-3.06
-2
2
-4.06
-2
-4.06
0
-1
-1
0
-3.06
-4.06
-2
-2
-3.06
-1
-1
-3.06
-1
-1
-4.06
-4.06
-4.06
-1
3
2
-4.06
-1
-3.06
-2
3
-3.06
-2
-2
1
-2
-3.06
3
-4.06
-4.06
-2
-2
-4.06
-2
-1
-4.06
-3.06
-2
-3.06
-4.06
-4.06
2
-4.06
-3.06
-2
2
-3.06
1
-3.06
-2
-4.06
-1
-2
-3.06
-1
3
0
-3.06
-2
-3.06
-2
-3.06
-1
-2
1
-2
2
2
-1
3
-2
1
-4.06
-4.06
-2
3
-3.06
-3.06
3
-3.06
-3.06
-3.06
-3.06
0
-4.06
-2
-2
-3.06
-2
-4.06
0
-2
0
-3.06
-1
3
-3.06
-2
-2
-2
-2
-2
-3.06
-3.06
3
-2
-1
-4.06
1
2
-3.06
-4.06
-2
-2
2
2
0
-3.06
-3.06
-1
-2
-1
3
-3.06
-3.06
-3.06
-1
3
-4.06
-2
-3.06
-2
-3.06
-1
-2
-4.06
0
0
-3.06
-2
-1
-2
-4.06
-3.06
2
-3.06
-2
0
-4.06
1
-2
-3.06
-1
-4.06
-1
3
-1
-3.06
-2
-3.06
-3.06
-3.06
1
-2
-3.06
-3.06
-2
-2
-3.06
-3.06
2
-2
2
1
-3.06
-2
-3.06
-3.06
-3.06
-2
3
-2
-3.06
-2
-3.06
0
-1
-1
-3.06
-1
3
-4.06
-2
3
0
-4.06
-1
-3.06
-4.06
-1
-3.06
3
-1
-1
-2
1
-4.06
0
-1
-2
-3.06
1
-4.06
0
-2
-4.06
-2
1
-2
2
-3.06
1
2
-2
-4.06
1
-3.06
-3.06
-1
-3.06
1
3
-4.06
-4.06
2
-2
-1
-1
-2
3
-1
0
-4.06
-1
-3.06
-1
-2
-1
-1
-3.06
-3.06
-4.06
-2
3
-3.06
-3.06
1
-3.06
2
-4.06
-2
-2
3
-3.06
-3.06
-3.06
-3.06
-1
-3.06
-2
-2
-1
-4.06
3
-2
-2
-3.06
-2
-2
-2
-3.06
0
-2
-3.06
-2
-2
-3.06
-1
2
-4.06
-2
-3.06
-3.06
-2
-3.06
-2
-2
-4.06
2
3
0
-3.06
-2
-2
-2
-2
-1
-2
-2
-4.06
-3.06
-2
3
-1
-2
-3.06
-4.06
-1
-4.06
-3.06
-2
-2
-3.06
-4.06
-3.06
-2
-2
-4.06
2
0
-2
-2
-4.06
3
-1
-2
-3.06
-3.06
-3.06
-2
3
-3.06
2
-3.06
3
-3.06
0
-2
-2
-2
1
3
-2
-2
-1
-2
-1
-3.06
-3.06
-3.06
-4.06
-2
-2
-2
-4.06
-3.06
-4.06
-2
-2
-1
2
-3.06
3
-2
-3.06
-2
-2
-1
-2
-2
-4.06
-2
-3.06
-4.06
-2
-2
-1
-2
-2
3
-2
-4.06
-3.06
-1
-3.06
-3.06
-1
-3.06
-2
1
-2
-2
-2
-1
-2
-1
-2
-3.06
0
-1
-1
3
-1
-3.06
-4.06
2
-2
1
3
-3.06
1
-3.06
-4.06
-2
-2
-3.06
2
-2
-4.06
-1
-2
1
-4.06
-2
-2
-1
-2
-2
-2
-4.06
-2
2
-2
0
-4.06
-1
-3.06
2
3
-4.06
-2
-2
-3.06
-2
-3.06
-2
-2
0
-3.06
-3.06
-4.06
-2
-1
-4.06
-2
